product_type,sku,price,availability,number_of_products_sold,revenue_generated,customer_demographics,stock_levels,order_lead_time,order_quantities,shipping_times,shipping_carriers,shipping_costs,supplier_name,location,supplier_lead_time,production_volumes,manufacturing_lead_time,manufacturing_costs,inspection_results,defect_rates,transportation_modes,routes,total_supply_chain_costs,cost_per_unit_sold,carrier_route_combo,total_lead_time,norm_lead_time,norm_defect_rate,supplier_risk_score,stock_to_sales_ratio,working_capital_at_risk,shipping_costs_outlier,defect_rates_outlier,total_lead_time_outlier,cost_per_unit_sold_outlier,stock_to_sales_ratio_outlier,total_supply_chain_costs_outlier
haircare,SKU76,69.10879954743032,23,241,5328.375984297758,Male,38,1,22,10,Carrier A,7.054538336836926,Supplier 2,Bangalore,25,985,24,64.32359779560022,Pending,2.1800374515822165,Rail,Route A,997.4134501331946,0.029271943306377286,Carrier A — Route A,11,0.20588235294117646,0.43925718858743384,0.3226,0.1577,10.14,False,False,False,False,False,False
haircare,SKU77,57.44974295897148,14,359,2483.7601775427947,Unknown,96,28,57,4,Carrier B,6.780946625617895,Supplier 1,Kolkata,26,334,5,42.95244474899184,Pass,3.055141818307548,Road,Route B,852.56809891985,0.018888430712027563,Carrier B — Route B,32,0.8235294117647058,0.6171005166095582,0.7203,0.2674,11.49,False,False,False,False,False,False
haircare,SKU78,6.306883176111915,50,946,1292.4584179377562,Unknown,5,4,51,5,Carrier B,8.46704977086199,Supplier 5,Mumbai,25,858,21,71.12651472040338,Pending,4.096881332470452,Sea,Route C,323.59220343132216,0.008950369736640582,Carrier B — Route C,9,0.14705882352941177,0.8288083187590947,0.4879,0.0053,0.38,False,False,False,False,False,False
haircare,SKU79,57.05703122110322,56,198,7888.723268427081,Non-binary,31,25,20,1,Carrier B,6.4963253642950445,Supplier 3,Bangalore,5,228,12,57.87090292403628,Pending,0.1658716274806082,Air,Route C,351.50421933503867,0.03280972406209618,Carrier B — Route C,26,0.6470588235294118,0.029927779471269855,0.3385,0.1566,9.06,False,False,False,False,False,False
skincare,SKU80,91.12831835044432,75,872,8651.672682982065,Unknown,39,14,41,2,Carrier C,2.8331846794189746,Supplier 3,Chennai,8,202,5,76.96122802382001,Fail,2.8496621985053308,Sea,Route B,787.7798504943445,0.0032490649993336864,Carrier C — Route B,16,0.35294117647058826,0.5753418637952741,0.4641,0.0447,3.44,False,False,False,False,False,False
haircare,SKU81,72.81920693031822,9,774,4384.413400045863,Unknown,48,6,8,5,Carrier B,4.066277501512044,Supplier 3,Delhi,28,698,1,19.789592941903603,Pending,2.547547121548712,Rail,Route B,276.77833594679885,0.005253588503245535,Carrier B — Route B,11,0.20588235294117646,0.5139444433565195,0.3599,0.062,1.23,False,False,False,False,False,False
skincare,SKU82,17.034930739467917,13,336,2943.3818676094515,Unknown,42,19,72,1,Carrier A,4.70818187354193,Supplier 2,Mumbai,6,955,26,4.46527843494324,Pending,4.137877048622357,Road,Route C,589.9785556280407,0.014012446052208125,Carrier A — Route C,20,0.47058823529411764,0.8371396845622245,0.6539,0.125,0.56,False,False,False,False,False,False
haircare,SKU83,68.91124621160633,82,663,2411.754632110491,Unknown,65,24,7,8,Carrier B,4.949839577996949,Supplier 1,Bangalore,20,443,5,97.73059380053304,Fail,0.7730061340672478,Road,Route A,682.9710182260933,0.0074658213846107825,Carrier B — Route A,32,0.8235294117647058,0.1533128582276285,0.4884,0.098,9.58,False,False,False,False,False,False
haircare,SKU84,89.10436729210225,99,618,2048.2900998487103,Unknown,73,26,80,10,Carrier A,8.381615624922631,Supplier 5,Chennai,24,589,22,33.808636513209095,Pass,4.843456577118041,Air,Route B,465.457005963688,0.013562484829971895,Carrier A — Route B,36,0.9411764705882353,0.9805312802429933,0.9609,0.1181,3.99,False,False,False,False,False,False
cosmetics,SKU85,76.96299441519388,83,25,8684.613059253858,Female,15,18,66,2,Carrier C,8.249168704871728,Supplier 5,Chennai,4,211,2,69.9293455186723,Fail,1.3744289997457582,Road,Route B,842.6868300046415,0.32996674819486915,Carrier C — Route B,20,0.47058823529411764,0.27553718717380155,0.3731,0.6,41.96,False,False,False,True,True,False
skincare,SKU86,19.99817694040422,18,223,1229.5910285649834,Unknown,32,14,22,6,Carrier B,1.4543053101535517,Supplier 1,Mumbai,4,569,18,74.60896999519468,Pass,2.0515129307662465,Rail,Route A,264.2548898358665,0.006521548476024895,Carrier B — Route A,20,0.47058823529411764,0.4131377571419099,0.4419,0.1435,10.71,False,False,False,False,False,False
haircare,SKU87,80.41403665035574,24,79,5133.846701086692,Male,5,7,55,10,Carrier A,6.575803797548535,Supplier 3,Chennai,27,523,17,28.69699682414317,Fail,3.693737787839276,Sea,Route B,879.3592177349243,0.08323802275377892,Carrier A — Route B,17,0.38235294117647056,0.7468793599125809,0.5646,0.0633,1.82,False,False,False,True,False,False
cosmetics,SKU88,75.27040697572501,58,737,9444.74203306298,Male,60,18,85,7,Carrier A,3.8012531329310777,Supplier 2,Mumbai,21,953,11,68.18491905704117,Pending,0.722204401882931,Sea,Route A,103.91624796070496,0.00515773830791191,Carrier A — Route A,25,0.6176470588235294,0.1429886620923082,0.3803,0.0814,5.55,False,False,False,False,False,False
cosmetics,SKU89,97.76008558193868,10,134,5924.682566853231,Unknown,90,1,27,8,Carrier B,9.92981624527726,Supplier 1,Kolkata,23,370,11,46.60387338164447,Pending,1.9076657339590744,Rail,Route B,517.4999739290605,0.07410310630803926,Carrier B — Route B,9,0.14705882352941177,0.3839043706116031,0.2655,0.6716,31.3,False,False,False,True,True,False
skincare,SKU90,13.881913501359142,56,320,9592.633570280312,Non-binary,66,18,96,7,Carrier B,7.674430708112694,Supplier 3,Bangalore,8,585,8,85.67596333579797,Pass,1.2193822244013883,Rail,Route B,990.0784725058112,0.02398259596285217,Carrier B — Route B,25,0.6176470588235294,0.24402776318415295,0.4308,0.2062,17.67,False,False,False,False,False,False
cosmetics,SKU91,62.11196546396179,90,916,1935.206793507599,Male,98,22,85,7,Carrier B,7.471514084401146,Supplier 4,Delhi,5,207,28,39.772882502339975,Pending,0.6260018582093946,Rail,Route B,996.7783149506238,0.008156674764630072,Carrier B — Route B,29,0.7352941176470589,0.12343787343024516,0.4294,0.107,4.26,False,False,False,False,False,False
cosmetics,SKU92,47.71423307582023,44,276,2100.1297546259366,Male,90,25,10,8,Carrier B,4.469500026123601,Supplier 2,Mumbai,4,671,29,62.61269039561434,Pass,0.3334318252247392,Rail,Route B,230.0927825367629,0.016193840674360874,Carrier B — Route B,33,0.8529411764705882,0.06398024720420102,0.4585,0.3261,20.42,False,False,False,False,False,False
haircare,SKU93,69.29083100290549,88,114,4531.4021336919095,Unknown,63,17,66,1,Carrier C,7.0064320590043945,Supplier 4,Chennai,21,824,20,35.63365234334388,Fail,4.165781795424145,Air,Route A,823.5238458881558,0.06145993034214381,Carrier C — Route A,18,0.4117647058823529,0.8428106344826497,0.6273,0.5526,19.69,False,False,False,True,True,False
cosmetics,SKU94,3.037688724631414,97,987,7888.356546661873,Unknown,77,26,72,9,Carrier B,6.942945942032581,Supplier 2,Delhi,12,908,14,60.38737861486212,Pass,1.4636074984727798,Rail,Route B,846.6652569866948,0.007034393051704743,Carrier B — Route B,35,0.9117647058823529,0.2936605123504067,0.6027,0.078,4.71,False,False,False,False,False,False
haircare,SKU95,77.90392721944775,65,672,7386.363944048664,Unknown,15,14,26,9,Carrier B,8.630338869602754,Supplier 4,Mumbai,18,450,26,58.89068576858998,Pending,1.2108821295850665,Air,Route A,778.8642413766479,0.012842766175004098,Carrier B — Route A,23,0.5588235294117647,0.2423003290538731,0.4006,0.0223,1.31,False,False,False,False,False,False
cosmetics,SKU96,24.42313142037338,29,324,7698.424765632117,Non-binary,67,2,32,3,Carrier C,5.352878043996809,Supplier 3,Mumbai,28,648,28,17.80375633139127,Pending,3.872047681482133,Road,Route A,188.74214114905695,0.01652122853085435,Carrier C — Route A,5,0.029411764705882353,0.783116437580678,0.4063,0.2068,3.68,False,False,False,False,False,False
haircare,SKU97,3.526111259143416,56,62,4370.916579984536,Male,46,19,4,9,Carrier A,7.904845611209675,Supplier 4,Mumbai,10,535,13,65.76515592636746,Fail,3.376237834717981,Road,Route A,540.1324228679678,0.12749750985822056,Carrier A — Route A,28,0.7058823529411765,0.6823553437415105,0.6941,0.7419,48.79,False,False,False,True,True,False
skincare,SKU98,19.7546048668786,43,913,8525.952559683526,Female,53,1,27,7,Carrier B,1.409801095138073,Supplier 5,Chennai,28,581,9,5.604690864371781,Pending,2.908122169351261,Rail,Route A,882.1988635470415,0.0015441413966463013,Carrier B — Route A,8,0.11764705882352941,0.5872224076099752,0.3524,0.0581,0.33,False,False,False,False,False,False
haircare,SKU99,68.51783269927664,17,627,9185.185829181704,Unknown,55,8,59,6,Carrier B,1.3110237561206226,Supplier 2,Chennai,29,921,2,38.07289852062604,Fail,0.3460272907055034,Rail,Route B,210.74300896424612,0.0020909469794587283,Carrier B — Route B,14,0.29411764705882354,0.06653996417541112,0.1803,0.0877,3.34,False,False,False,False,False,False
